Date,Departure Airport,Departure Airport Rating (out of 10),Departure Airport On Time Rating (out of 10),Departure Airport Service Rating (out of 10),Arrival Airport,Arrival Airport Rating (out of 10),Arrival Airport On Time Rating (out of 10),Arrival Airport Service Rating (out of 10),Airplane Type,Expected Departure Time,Departure Time,Departure Delay,Duration,Expected Arrival Time,Arrival Time,Arrival Time Delay,Carrier,Carrier Rating (out of 10),Carrier Market Share (out of 100),Carrier Load Factor (out of 100),Carrier On Time Performance Rating (out of 100),totalSnow_cm,DewPointC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
29-01-2018,BLR,,,,BOM,7.29,6.2,9,,06:45,06:54,00:09:00,01:19,08:25,08:13,-0:12:00,Air India,6.6,12,80.75,70.3,0,8,18,2,50,0,1014,17,10,72,11
29-01-2018,BOM,7.29,6.2,9,DEL,7.99,7.3,9.1,,07:00,07:25,00:25:00,01:48,09:05,09:13,00:08:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
29-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,,07:05,10:09,03:04:00,01:52,09:10,12:01,02:51:00,Air India,6.6,12,80.75,70.3,0,6,9,0,36,0,1018,17,10,287,8
29-01-2018,CCU,,,,DEL,7.99,7.3,9.1,,07:00,07:07,00:07:00,02:10,09:10,09:17,00:07:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
29-01-2018,BLR,,,,DEL,7.99,7.3,9.1,,06:10,06:21,00:11:00,02:18,08:55,08:39,-0:16:00,Air India,6.6,12,80.75,70.3,0,8,18,2,50,0,1014,17,10,72,11
29-01-2018,BLR,,,,BOM,7.29,6.2,9,A20N,05:45,05:48,00:03:00,01:20,07:15,07:08,-0:07:00,Go Air,7.2,8.8,93.3,91.8,0,8,18,2,50,0,1014,17,10,72,11
30-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,07:20,07:31,00:11:00,01:56,09:30,09:27,-0:03:00,Vistara,9.2,3.6,81.8,89,0,5,14,0,37,0,1016,17,10,270,12
30-01-2018,CCU,,,,DEL,7.99,7.3,9.1,A320,07:10,07:16,00:06:00,02:11,09:25,09:27,00:02:00,Vistara,9.2,3.6,81.8,89,,,,,,,,,,,
30-01-2018,BLR,,,,DEL,7.99,7.3,9.1,A320,07:00,07:05,00:05:00,02:16,09:40,09:21,-0:19:00,Vistara,9.2,3.6,81.8,89,0,16,13,0,80,0,1015,18,10,76,11
30-01-2018,CCU,,,,DEL,7.99,7.3,9.1,B737,07:40,08:12,00:32:00,02:11,10:15,10:23,00:08:00,Spicejet,6.8,13.1,93.9,74.7,,,,,,,,,,,
30-01-2018,BLR,,,,DEL,7.99,7.3,9.1,B738,05:45,05:53,00:08:00,02:20,08:35,08:13,-0:22:00,Spicejet,6.8,13.1,93.9,74.7,0,16,13,0,80,0,1015,18,10,76,11
30-01-2018,BLR,,,,BOM,7.29,6.2,9,A20N,05:05,05:12,00:07:00,01:15,06:50,06:28,-0:22:00,Indigo,7.9,39.7,90.9,87.4,0,16,13,0,80,0,1015,18,10,76,11
30-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,04:55,05:01,00:06:00,01:55,07:05,06:56,-0:09:00,Indigo,7.9,39.7,90.9,87.4,0,5,14,0,37,0,1016,17,10,270,12
30-01-2018,BLR,,,,BOM,7.29,6.2,9,A320,05:45,05:48,00:03:00,01:25,07:15,07:12,-0:03:00,Go Air,7.2,8.8,93.3,91.8,0,16,13,0,80,0,1015,18,10,76,11
30-01-2018,BLR,,,,BOM,7.29,6.2,9,,06:45,06:58,00:13:00,01:20,08:25,08:18,-0:07:00,Air India,6.6,12,80.75,70.3,0,16,13,0,80,0,1015,18,10,76,11
30-01-2018,BOM,7.29,6.2,9,DEL,7.99,7.3,9.1,,07:00,07:17,00:17:00,01:35,09:05,08:52,-0:13:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
30-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,,07:05,07:18,00:13:00,01:59,09:10,09:18,00:08:00,Air India,6.6,12,80.75,70.3,0,5,14,0,37,0,1016,17,10,270,12
30-01-2018,CCU,,,,DEL,7.99,7.3,9.1,,07:00,07:02,00:02:00,02:06,09:10,09:08,-0:02:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
30-01-2018,BLR,,,,DEL,7.99,7.3,9.1,,06:00,06:11,00:11:00,02:13,08:35,08:24,-0:11:00,Air India,6.6,12,80.75,70.3,0,16,13,0,80,0,1015,18,10,76,11
30-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A20N,05:40,05:41,00:01:00,02:04,07:50,07:45,-0:05:00,Go Air,7.2,8.8,93.3,91.8,0,5,14,0,37,0,1016,17,10,270,12
31-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,04:55,05:00,00:05:00,01:57,07:05,06:56,-0:09:00,Indigo,7.9,39.7,90.9,87.4,0,7,18,61,39,0,1013,21,10,295,10
31-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,07:20,07:28,00:08:00,00:00,09:30,09:28,-0:02:00,Vistara,9.2,3.6,81.8,89,0,7,18,61,39,0,1013,21,10,295,10
31-01-2018,CCU,,,,DEL,7.99,7.3,9.1,A320,07:10,07:25,00:15:00,02:20,09:25,09:45,00:20:00,Vistara,9.2,3.6,81.8,89,,,,,,,,,,,
31-01-2018,BLR,,,,DEL,7.99,7.3,9.1,A320,07:00,07:01,00:01:00,02:26,09:40,09:27,-0:13:00,Vistara,9.2,3.6,81.8,89,0,4,14,0,19,0,1012,29,10,71,12
31-01-2018,CCU,,,,DEL,7.99,7.3,9.1,B737,07:40,07:54,00:14:00,02:14,10:15,10:08,-0:07:00,Spicejet,6.8,13.1,93.9,74.7,,,,,,,,,,,
31-01-2018,BLR,,,,BOM,7.29,6.2,9,A320,05:05,05:01,-0:04:00,01:16,06:50,06:17,-0:33:00,Indigo,7.9,39.7,90.9,87.4,0,4,14,0,19,0,1012,29,10,71,12
31-01-2018,CCU,,,,DEL,7.99,7.3,9.1,A320,06:05,06:05,00:00:00,02:07,08:35,08:12,-0:23:00,Indigo,7.9,39.7,90.9,87.4,,,,,,,,,,,
31-01-2018,BLR,,,,DEL,7.99,7.3,9.1,B738,05:45,05:53,00:08:00,02:27,08:35,08:20,-0:15:00,Spicejet,6.8,13.1,93.9,74.7,0,4,14,0,19,0,1012,29,10,71,12
31-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A20N,05:40,05:38,-0:02:00,01:59,07:50,07:37,-0:13:00,Go Air,7.2,8.8,93.3,91.8,0,7,18,61,39,0,1013,21,10,295,10
31-01-2018,BLR,,,,BOM,7.29,6.2,9,,06:45,06:56,00:11:00,01:15,08:25,08:11,-0:14:00,Air India,6.6,12,80.75,70.3,0,4,14,0,19,0,1012,29,10,71,12
31-01-2018,BOM,7.29,6.2,9,DEL,7.99,7.3,9.1,,07:00,07:19,00:19:00,01:39,09:05,08:57,-0:08:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
31-01-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,,07:05,07:16,00:11:00,01:54,09:10,09:10,00:00:00,Air India,6.6,12,80.75,70.3,0,7,18,61,39,0,1013,21,10,295,10
31-01-2018,CCU,,,,DEL,7.99,7.3,9.1,,07:00,07:05,00:05:00,02:11,09:10,09:16,00:06:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
31-01-2018,BLR,,,,DEL,7.99,7.3,9.1,,06:10,06:29,00:19:00,02:22,08:55,08:52,-0:03:00,Air India,6.6,12,80.75,70.3,0,4,14,0,19,0,1012,29,10,71,12
31-01-2018,BLR,,,,BOM,7.29,6.2,9,A20N,05:45,05:59,00:14:00,01:21,07:15,07:20,00:05:00,Go Air,7.2,8.8,93.3,91.8,0,4,14,0,19,0,1012,29,10,71,12
01-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,04:55,05:09,00:14:00,01:49,07:05,06:59,-0:06:00,Indigo,7.9,39.7,90.9,87.4,0,5,3,0,36,0,1014,16,10,293,3
01-02-2018,BLR,,,,BOM,7.29,6.2,9,A20N,05:05,05:07,00:02:00,01:21,06:50,06:28,-0:22:00,Indigo,7.9,39.7,90.9,87.4,0,15,10,8,78,0,1011,18,10,137,7
01-02-2018,BLR,,,,BOM,7.29,6.2,9,A20N,05:05,05:14,00:09:00,01:16,06:50,06:30,-0:20:00,Indigo,7.9,39.7,90.9,87.4,0,15,10,8,78,0,1011,18,10,137,7
01-02-2018,BLR,,,,DEL,7.99,7.3,9.1,B738,05:45,06:00,00:15:00,02:47,08:35,08:47,00:12:00,Spicejet,6.8,13.1,93.9,74.7,0,15,10,8,78,0,1011,18,10,137,7
01-02-2018,CCU,,,,DEL,7.99,7.3,9.1,B737,07:40,07:54,00:14:00,02:27,10:15,10:21,00:06:00,Spicejet,6.8,13.1,93.9,74.7,,,,,,,,,,,
01-02-2018,BLR,,,,DEL,7.99,7.3,9.1,A320,07:00,07:01,00:01:00,02:23,09:40,09:25,-0:15:00,Vistara,9.2,3.6,81.8,89,0,15,10,8,78,0,1011,18,10,137,7
01-02-2018,BLR,,,,DEL,7.99,7.3,9.1,A320,07:00,07:04,00:04:00,02:23,09:40,09:27,-0:13:00,Vistara,9.2,3.6,81.8,89,0,15,10,8,78,0,1011,18,10,137,7
01-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,04:55,04:53,-0:02:00,01:53,07:05,06:46,-0:19:00,Indigo,7.9,39.7,90.9,87.4,0,5,3,0,36,0,1014,16,10,293,3
01-02-2018,CCU,,,,DEL,7.99,7.3,9.1,A320,07:10,07:09,-0:01:00,02:21,09:25,09:30,00:05:00,Vistara,9.2,3.6,81.8,89,,,,,,,,,,,
01-02-2018,CCU,,,,DEL,7.99,7.3,9.1,A320,07:10,07:16,00:06:00,02:07,09:25,09:23,-0:02:00,Vistara,9.2,3.6,81.8,89,,,,,,,,,,,
01-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,07:20,07:31,00:11:00,01:57,09:30,09:27,-0:03:00,Vistara,9.2,3.6,81.8,89,0,5,3,0,36,0,1014,16,10,293,3
01-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,07:20,07:55,00:35:00,01:54,09:30,09:49,00:19:00,Vistara,9.2,3.6,81.8,89,0,5,3,0,36,0,1014,16,10,293,3
01-02-2018,BLR,,,,DEL,7.99,7.3,9.1,B738,05:45,05:54,00:09:00,02:16,08:35,08:10,-0:25:00,Spicejet,6.8,13.1,93.9,74.7,0,15,10,8,78,0,1011,18,10,137,7
01-02-2018,CCU,,,,DEL,7.99,7.3,9.1,A320,06:05,06:07,00:02:00,02:07,08:35,08:14,-0:21:00,Indigo,7.9,39.7,90.9,87.4,,,,,,,,,,,
01-02-2018,CCU,,,,DEL,7.99,7.3,9.1,B737,07:40,07:49,00:09:00,02:32,10:15,10:21,00:06:00,Spicejet,6.8,13.1,93.9,74.7,,,,,,,,,,,
01-02-2018,BLR,,,,BOM,7.29,6.2,9,A320,05:45,05:54,00:09:00,01:24,07:15,07:18,00:03:00,Go Air,7.2,8.8,93.3,91.8,0,15,10,8,78,0,1011,18,10,137,7
01-02-2018,CCU,,,,DEL,7.99,7.3,9.1,A320,06:05,06:05,00:00:00,02:10,08:35,08:15,-0:20:00,Indigo,7.9,39.7,90.9,87.4,,,,,,,,,,,
01-02-2018,BLR,,,,DEL,7.99,7.3,9.1,,06:10,06:11,00:01:00,02:23,08:55,08:34,-0:21:00,Air India,6.6,12,80.75,70.3,0,15,10,8,78,0,1011,18,10,137,7
01-02-2018,CCU,,,,DEL,7.99,7.3,9.1,,07:00,06:55,-0:05:00,02:18,09:10,09:13,00:03:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
01-02-2018,BLR,,,,DEL,7.99,7.3,9.1,,06:10,06:20,00:10:00,02:17,08:55,08:38,-0:17:00,Air India,6.6,12,80.75,70.3,0,15,10,8,78,0,1011,18,10,137,7
01-02-2018,CCU,,,,DEL,7.99,7.3,9.1,,07:00,06:55,-0:05:00,02:03,09:10,08:58,-0:12:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
01-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,,07:05,07:26,00:21:00,01:55,09:10,09:21,00:11:00,Air India,6.6,12,80.75,70.3,0,5,3,0,36,0,1014,16,10,293,3
01-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,,07:05,07:27,00:22:00,02:08,09:10,09:35,00:25:00,Air India,6.6,12,80.75,70.3,0,5,3,0,36,0,1014,16,10,293,3
01-02-2018,BOM,7.29,6.2,9,DEL,7.99,7.3,9.1,,07:00,07:14,00:14:00,01:37,09:05,08:51,-0:14:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
01-02-2018,BLR,,,,BOM,7.29,6.2,9,,06:45,07:00,00:15:00,01:25,08:25,08:24,-0:01:00,Air India,6.6,12,80.75,70.3,0,15,10,8,78,0,1011,18,10,137,7
01-02-2018,BLR,,,,BOM,7.29,6.2,9,,06:45,06:55,00:10:00,01:19,08:25,08:13,-0:12:00,Air India,6.6,12,80.75,70.3,0,15,10,8,78,0,1011,18,10,137,7
01-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,05:40,05:42,00:02:00,01:59,07:50,07:42,-0:08:00,Go Air,7.2,8.8,93.3,91.8,0,5,3,0,36,0,1014,16,10,293,3
01-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A20N,05:40,05:40,00:00:00,01:52,07:50,07:32,-0:18:00,Go Air,7.2,8.8,93.3,91.8,0,5,3,0,36,0,1014,16,10,293,3
01-02-2018,BLR,,,,BOM,7.29,6.2,9,A20N,05:45,05:52,00:07:00,01:27,07:15,07:19,00:04:00,Go Air,7.2,8.8,93.3,91.8,0,15,10,8,78,0,1011,18,10,137,7
01-02-2018,BOM,7.29,6.2,9,DEL,7.99,7.3,9.1,,07:00,07:19,00:19:00,01:47,09:05,09:06,00:01:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
03-02-2018,BLR,,,,BOM,7.29,6.2,9,A20N,05:05,05:10,00:05:00,01:18,06:50,06:28,-0:22:00,Indigo,7.9,39.7,90.9,87.4,0,10,15,0,46,0,1012,21,10,89,11
03-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,07:20,07:23,00:03:00,01:51,09:30,09:14,-0:16:00,Vistara,9.2,3.6,81.8,89,0,10,14,5,31,0,1007,27,10,339,9
03-02-2018,CCU,,,,DEL,7.99,7.3,9.1,A320,07:10,07:18,00:08:00,02:10,09:25,09:29,00:04:00,Vistara,9.2,3.6,81.8,89,,,,,,,,,,,
03-02-2018,BLR,,,,DEL,7.99,7.3,9.1,A320,07:00,07:02,00:02:00,02:18,09:40,09:20,-0:20:00,Vistara,9.2,3.6,81.8,89,0,10,15,0,46,0,1012,21,10,89,11
03-02-2018,CCU,,,,DEL,7.99,7.3,9.1,B737,07:40,07:58,00:18:00,02:09,10:15,10:08,-0:07:00,Spicejet,6.8,13.1,93.9,74.7,,,,,,,,,,,
03-02-2018,BLR,,,,DEL,7.99,7.3,9.1,B738,05:45,05:43,-0:02:00,02:11,08:35,07:54,-0:41:00,Spicejet,6.8,13.1,93.9,74.7,0,10,15,0,46,0,1012,21,10,89,11
03-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,04:55,05:03,00:08:00,01:53,07:05,06:56,-0:09:00,Indigo,7.9,39.7,90.9,87.4,0,10,14,5,31,0,1007,27,10,339,9
03-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,,07:05,07:11,00:06:00,01:59,09:10,09:10,00:00:00,Air India,6.6,12,80.75,70.3,0,10,14,5,31,0,1007,27,10,339,9
03-02-2018,BLR,,,,BOM,7.29,6.2,9,A20N,05:45,05:57,00:12:00,01:26,07:15,07:24,00:09:00,Go Air,7.2,8.8,93.3,91.8,0,10,15,0,46,0,1012,21,10,89,11
03-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A20N,05:40,05:53,00:13:00,01:58,07:50,07:50,00:00:00,Go Air,7.2,8.8,93.3,91.8,0,10,14,5,31,0,1007,27,10,339,9
03-02-2018,BLR,,,,BOM,7.29,6.2,9,,06:45,06:57,00:12:00,01:20,08:25,08:18,-0:07:00,Air India,6.6,12,80.75,70.3,0,10,15,0,46,0,1012,21,10,89,11
03-02-2018,BOM,7.29,6.2,9,DEL,7.99,7.3,9.1,,07:00,07:22,00:22:00,01:37,09:05,09:00,-0:05:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
03-02-2018,CCU,,,,DEL,7.99,7.3,9.1,,07:00,06:58,-0:02:00,02:08,09:10,09:06,-0:04:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
03-02-2018,BLR,,,,DEL,7.99,7.3,9.1,,06:10,06:10,00:00:00,02:13,08:55,08:23,-0:32:00,Air India,6.6,12,80.75,70.3,0,10,15,0,46,0,1012,21,10,89,11
03-02-2018,CCU,,,,DEL,7.99,7.3,9.1,A20N,06:05,06:14,00:09:00,02:04,08:35,08:18,-0:17:00,Indigo,7.9,39.7,90.9,87.4,,,,,,,,,,,
04-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A20N,04:55,05:04,00:09:00,01:52,07:05,06:56,-0:09:00,Indigo,7.9,39.7,90.9,87.4,0,15,9,0,38,0,1007,25,10,126,8
04-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,07:20,07:31,00:11:00,01:56,09:30,09:27,-0:03:00,Vistara,9.2,3.6,81.8,89,0,15,9,0,38,0,1007,25,10,126,8
04-02-2018,CCU,,,,DEL,7.99,7.3,9.1,A320,07:10,07:22,00:12:00,02:07,09:25,09:29,00:04:00,Vistara,9.2,3.6,81.8,89,,,,,,,,,,,
04-02-2018,CCU,,,,DEL,7.99,7.3,9.1,B737,07:40,07:52,00:12:00,02:11,10:15,10:03,-0:12:00,Spicejet,6.8,13.1,93.9,74.7,,,,,,,,,,,
04-02-2018,BLR,,,,BOM,7.29,6.2,9,A20N,05:05,05:08,00:03:00,01:13,06:50,06:21,-0:29:00,Indigo,7.9,39.7,90.9,87.4,0,11,7,30,28,0,1008,32,10,114,6
04-02-2018,BLR,,,,BOM,7.29,6.2,9,A320,05:45,05:57,00:12:00,01:19,07:15,07:16,00:01:00,Go Air,7.2,8.8,93.3,91.8,0,11,7,30,28,0,1008,32,10,114,6
04-02-2018,BLR,,,,DEL,7.99,7.3,9.1,B738,05:45,05:55,00:10:00,02:15,08:35,08:10,-0:25:00,Spicejet,6.8,13.1,93.9,74.7,0,11,7,30,28,0,1008,32,10,114,6
04-02-2018,BLR,,,,BOM,7.29,6.2,9,,06:45,06:49,00:04:00,01:15,08:25,08:04,-0:21:00,Air India,6.6,12,80.75,70.3,0,11,7,30,28,0,1008,32,10,114,6
04-02-2018,BLR,,,,DEL,7.99,7.3,9.1,,06:10,06:11,00:01:00,02:19,08:55,08:30,-0:25:00,Air India,6.6,12,80.75,70.3,0,11,7,30,28,0,1008,32,10,114,6
04-02-2018,CCU,,,,DEL,7.99,7.3,9.1,,07:00,07:03,00:03:00,02:09,09:10,09:12,00:02:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
04-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,05:40,05:47,00:07:00,02:05,07:50,07:53,00:03:00,Go Air,7.2,8.8,93.3,91.8,0,15,9,0,38,0,1007,25,10,126,8
04-02-2018,BOM,7.29,6.2,9,DEL,7.99,7.3,9.1,,07:00,07:19,00:19:00,01:35,09:05,08:55,-0:10:00,Air India,6.6,12,80.75,70.3,,,,,,,,,,,
04-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,,07:05,07:07,00:02:00,02:04,09:10,09:11,00:01:00,Air India,6.6,12,80.75,70.3,0,15,9,0,38,0,1007,25,10,126,8
05-02-2018,BLR,,,,BOM,7.29,6.2,9,A20N,05:05,05:06,00:01:00,01:18,06:50,06:24,-0:26:00,Indigo,7.9,39.7,90.9,87.4,0,19,14,24,65,0,1009,26,10,218,11
05-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A320,07:20,07:37,00:17:00,02:05,09:30,09:42,00:12:00,Vistara,9.2,3.6,81.8,89,0,13,9,2,16,0,1003,40,10,92,8
05-02-2018,CCU,,,,DEL,7.99,7.3,9.1,A320,07:10,07:11,00:01:00,02:05,09:25,09:16,-0:09:00,Vistara,9.2,3.6,81.8,89,,,,,,,,,,,
05-02-2018,BLR,,,,DEL,7.99,7.3,9.1,A320,07:00,07:03,00:03:00,02:17,09:40,09:19,-0:21:00,Vistara,9.2,3.6,81.8,89,0,19,14,24,65,0,1009,26,10,218,11
05-02-2018,BLR,,,,DEL,7.99,7.3,9.1,B738,05:45,05:59,00:14:00,02:12,08:35,08:11,-0:24:00,Spicejet,6.8,13.1,93.9,74.7,0,19,14,24,65,0,1009,26,10,218,11
05-02-2018,CCU,,,,DEL,7.99,7.3,9.1,B737,07:40,07:52,00:12:00,02:12,10:15,10:04,-0:11:00,Spicejet,6.8,13.1,93.9,74.7,,,,,,,,,,,
05-02-2018,DEL,7.99,7.3,9.1,HYD,8.27,7.8,9,A20N,04:55,04:55,00:00:00,01:54,07:05,06:49,-0:16:00,Indigo,7.9,39.7,90.9,87.4,0,13,9,2,16,0,1003,40,10,92,8
05-02-2018,CCU,,,,DEL,7.99,7.3,9.1,A320,06:05,06:09,00:04:00,02:05,08:35,08:14,-0:21:00,Indigo,7.9,39.7,90.9,87.4,,,,,,,,,,,
05-02-2018,BLR,,,,BOM,7.29,6.2,9,A20N,05:45,05:49,00:04:00,01:25,07:15,07:14,-0:01:00,Go Air,7.2,8.8,93.3,91.8,0,19,14,24,65,0,1009,26,10,218,11
